,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
74,Salalah,OM,84.29,17.0151,54.0924,few clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
76,Pafos,CY,76.23,34.7667,32.4167,scattered clouds,Elysium Hotel
78,Beboto,TD,75.65,8.2668,16.939,overcast clouds,
79,Batticaloa,LK,84.06,7.7102,81.6924,overcast clouds,Grand Star Guest House
81,Jalu,LY,74.91,29.0331,21.5482,clear sky,صاحبة الفخامة
85,Dogondoutchi,NE,80.11,13.6393,4.0287,overcast clouds,Hôtel Alheri Maison Alheri
88,Jinka,ET,75.16,5.65,36.65,scattered clouds,
92,Adjumani,UG,75.29,3.3779,31.7909,overcast clouds,Hotel Zawadi
93,Isiro,CD,76.14,2.7739,27.616,overcast clouds,Guest House Hewa Bora
96,Sabzevar,IR,78.08,36.2126,57.6819,clear sky,پزشکی قانونی سبزوار
108,Manavalakurichi,IN,85.24,8.1333,77.3,overcast clouds,Jebinrio home
110,Alwar,IN,86.07,27.5667,76.6,clear sky,Hotel Saroop Vilas Palace
112,Hit,IQ,86.45,33.6416,42.8251,broken clouds,المعلق حسان رزاق
116,Riyadh,SA,87.94,24.6877,46.7219,clear sky,"InterContinental Riyadh, an IHG Hotel"
118,Marawi,PH,80.2,7.9986,124.2928,broken clouds,Derogongan Residence
120,Cotonou,BJ,78.78,6.3654,2.4183,scattered clouds,Novotel Cotonou Orisha
122,Kyabe,TD,80.53,9.4515,18.9449,overcast clouds,
124,Rafai,CF,75.9,4.95,23.9167,overcast clouds,
126,Basoda,IN,81.18,23.85,77.9333,clear sky,Sahu Dharamshala
128,Male,MV,84.15,4.1748,73.5089,broken clouds,Hotel Octave Maldives
131,Kulhudhuffushi,MV,81.77,6.6221,73.07,overcast clouds,Haajy Guest House 1
132,Shache,CN,70.32,38.4167,77.2406,clear sky,Delong Hotel
133,Victoria,HK,89.19,22.2855,114.1577,broken clouds,Mini Central
136,Umaria,IN,80.67,23.5333,80.8333,clear sky,KRISHNA PALACE
138,Sabha,LY,70.86,27.0377,14.4283,clear sky,محطة ام الارانب -سبها مواصلات
145,Kudahuvadhoo,MV,80.46,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
147,Port Blair,IN,86.04,11.6667,92.75,scattered clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
149,Kannur,IN,82.0,11.8675,75.3576,overcast clouds,Asokam Beach Resort and Ayurveda Chikitsa Kendram
150,Boali,CF,77.77,4.8005,18.1275,overcast clouds,Auberge des Cocotiers Boali poste
151,Gusau,NG,75.06,12.1628,6.6614,overcast clouds,GUEST INN
152,Am Timan,TD,81.09,11.0297,20.2827,overcast clouds,Palais du chef Canton Salamt
154,Gewane,ET,87.91,10.1664,40.6453,clear sky,እንደገና ገዋኔ ሞቴል
158,Sar-E Pul,AF,71.94,35.8333,66.1667,clear sky,
160,Sakakah,SA,81.97,29.9697,40.2064,clear sky,Fakhamat Al Orjoana Apartment
161,Jijiga,ET,72.36,9.35,42.8,scattered clouds,RAMAAS HOTEL
163,Tessalit,ML,79.45,20.1986,1.0114,clear sky,
165,Maihar,IN,82.69,24.2667,80.75,clear sky,Mrig Van Resort
167,Tanout,NE,81.82,14.9709,8.8879,scattered clouds,
171,Awbari,LY,71.22,26.5921,12.7805,clear sky,استراحة الشارب العائلي
172,Raga,SS,81.1,8.4596,25.678,broken clouds,
173,Jega,NG,77.65,12.2175,4.3792,overcast clouds,ALH. Nasiru Ibrahim
175,Kelo,TD,77.07,9.3086,15.8066,overcast clouds,Plantation de Kelo
178,Linda,US,75.69,39.1277,-121.5508,clear sky,Comfort Suites Marysville-Yuba City
182,Ajdabiya,LY,74.66,30.7554,20.2263,clear sky,منزلة الحاج سالم خليفة العيساويه الزواوي
183,Krishnagiri,IN,83.97,12.5333,78.2333,overcast clouds,"Alps Residency - A Bergamont Group of Hotel, Krishnagiri"
184,Bokoro,TD,86.45,12.3807,17.0568,few clouds,
185,Marsa Matruh,EG,74.73,31.3525,27.2453,broken clouds,Beau Site
187,Bhadrachalam,IN,82.31,17.6667,80.8833,overcast clouds,Hotel Srinidhi Residency
189,Madikeri,IN,77.76,12.4167,75.7333,overcast clouds,"Club Mahindra Resort - Madikeri - Coorg, Karnataka"
194,Bilma,NE,80.74,18.6853,12.9164,clear sky,Expeditions Ténére voyages
196,Matay,EG,77.67,28.419,30.7792,clear sky,Nag Aespen
200,Kanniyakumari,IN,82.98,8.0833,77.5667,overcast clouds,Sparsa Kanyakumari
202,Bandarbeyla,SO,84.81,9.4942,50.8122,clear sky,JABIR HOTEL
203,Zuwarah,LY,74.12,32.9312,12.082,few clouds,تيدارت انغ
206,Misratah,LY,75.24,32.3754,15.0925,light rain,Almasa Hotel
208,Hambantota,LK,85.8,6.1241,81.1185,broken clouds,Bungalow 63
210,Ouesso,CG,72.54,1.6136,16.0517,light rain,ABENIE Hotel
212,Dwarka,IN,88.12,22.2394,68.9678,broken clouds,Hotel Narayan Avezika Comfort
213,Kentau,KZ,71.71,43.5206,68.5094,few clouds,Safary
214,Trapani,IT,75.29,37.8333,12.6667,few clouds,
216,Ramat Yishay,IL,80.22,32.7006,35.1797,scattered clouds,Zimmer & Spa Kesem Hamaga
218,Dharchula,IN,76.08,29.85,80.5333,clear sky,Mahara Hotel
219,Adrar,MR,83.28,20.5022,-10.0711,overcast clouds,
225,Kashi,CN,70.81,39.4547,75.9797,clear sky,帕米尔青年旅舍
231,Makokou,GA,71.71,0.5738,12.8642,overcast clouds,Hôtel Arizona
235,Marzuq,YE,81.05,14.4,46.4667,clear sky,حيد القفلة
236,Umm Kaddadah,SD,84.51,13.6017,26.6876,clear sky,
238,Isagarh,IN,81.03,24.8333,77.8833,clear sky,ACC Cement
239,Garowe,SO,84.63,8.4054,48.4845,few clouds,Curubo Hotel
240,Asyut,EG,77.4,27.181,31.1837,clear sky,فندق ميس إيجيبت Miss Egypt Hotel
243,Arlit,NE,82.36,18.7369,7.3853,clear sky,Case de Passage De la Prefecture
245,Lar,IN,85.73,26.2039,83.9717,clear sky,Ovaiskarni ward Lar
247,Odweyne,SO,79.84,9.4092,45.064,clear sky,Eng Hiirey House
248,Marsabit,KE,70.3,2.3284,37.9899,broken clouds,Chicho Hotel
249,Abu Samrah,SY,70.79,35.3029,37.1841,overcast clouds,
